"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.403666250E0,-1.001567230E0,2.452500000E0,8.135282593E0
2.413679250E0,-9.783654785E-1,2.407144318E0,8.205636292E0
2.423693250E0,-9.192384338E-1,2.327958984E0,8.257428589E0
2.433707125E0,-8.969348145E-1,2.333347778E0,8.303233337E0
2.443720125E0,-7.967930603E-1,2.371817780E0,8.327033844E0
2.453734125E0,-6.557862854E-1,2.441722412E0,8.283175049E0
2.463748125E0,-5.743556213E-1,2.517315216E0,8.251291351E0
2.473761125E0,-6.152206421E-1,2.631976776E0,8.270601196E0
2.483775125E0,-6.821315002E-1,2.749482422E0,8.332422638E0
2.493789125E0,-6.881190491E-1,2.805765381E0,8.505013733E0
2.503802125E0,-6.399192810E-1,2.829715576E0,8.712033234E0
2.513816125E0,-5.851332092E-1,2.861748962E0,8.993747406E0
2.523830125E0,-4.833448792E-1,2.853965149E0,9.452393646E0
2.533843125E0,-4.004173279E-1,2.778072968E0,9.893975372E0
2.543857125E0,-2.920426941E-1,2.712209930E0,1.028960266E1
2.553871125E0,-2.137554932E-1,2.681673431E0,1.062101349E1
2.563884125E0,-1.002914429E-1,2.586770782E0,1.083461929E1
2.573898125E0,7.200027466E-2,2.420466614E0,1.111109436E1
2.583912125E0,2.767744446E-1,2.267933807E0,1.132499954E1
2.593925125E0,4.225712585E-1,2.236948242E0,1.143846359E1
2.603939125E0,3.641926575E-1,2.401905212E0,1.150836823E1
2.613952125E0,1.856140137E-1,2.664908295E0,1.140193954E1
2.623966125E0,1.763333130E-1,2.808310089E0,1.135613480E1
2.633980125E0,1.898052979E-1,2.975961456E0,1.129670837E1
2.643993125E0,1.483415222E-1,3.311713257E0,1.116064133E1
2.654007125E0,1.634600830E-1,3.631897430E0,1.109911926E1
2.664021125E0,3.065625000E-1,3.812571716E0,1.122186401E1
2.674034125E0,5.682183838E-1,3.877985687E0,1.137050491E1
2.684048125E0,8.714877319E-1,3.741020508E0,1.156165741E1
2.694062125E0,1.157393188E0,3.433559875E0,1.180190781E1
2.704075125E0,1.342258759E0,3.019969940E0,1.211041626E1
2.714089125E0,1.410666504E0,2.516566772E0,1.240754837E1
