"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.715347958E0,-2.788752317E-5,-7.721921429E-4,1.266747713E-4
1.725361958E0,-1.102508977E-3,-1.303010620E-3,-4.992070608E-4
1.735375958E0,1.332685351E-3,6.277812645E-4,3.860276192E-4
1.745389958E0,-1.217193902E-3,-3.749784082E-5,-1.734715421E-3
1.755403958E0,-2.439318225E-3,-1.247638371E-3,-7.490795106E-4
1.765417958E0,4.430655390E-4,1.205191016E-3,7.605925202E-4
1.775431958E0,3.458596766E-4,-9.069619700E-4,-2.174743451E-3
1.785445958E0,7.592998445E-4,-4.587275907E-5,-1.197126228E-3
1.795459958E0,-6.508436054E-4,1.505685039E-3,-2.767378464E-4
1.805473958E0,1.958193257E-3,-1.719621476E-3,-6.349408068E-4
1.815487958E0,-2.112165093E-4,-1.541722100E-3,-1.342009753E-3
1.825502958E0,2.083692700E-3,-1.378688030E-3,1.270255540E-3
1.835516958E0,1.586746424E-3,-3.004281316E-3,-2.417424228E-3
1.845530958E0,-4.880912602E-4,1.498785801E-3,9.111030959E-4
1.855544958E0,-8.782446384E-4,5.991701037E-4,-3.511784598E-5
1.865558958E0,1.646392047E-3,-1.239911187E-3,-9.500458837E-4
1.875572958E0,1.652516425E-3,-2.532876097E-3,-1.472292002E-3
1.885586958E0,4.486385733E-4,7.627005689E-4,4.819585010E-4
1.895600958E0,-2.134237438E-4,-7.590297610E-4,4.465384409E-4
1.905614958E0,5.167815834E-4,-2.941973507E-4,-9.417338297E-4
1.915628958E0,-2.560671419E-4,-1.978912856E-3,-1.590746455E-3
1.925642958E0,-2.684624866E-3,1.177506987E-3,-1.118191052E-3
1.935656958E0,-2.453727648E-3,-1.484056469E-3,-4.553301260E-4
1.945670958E0,1.881679520E-3,1.602768898E-3,7.903031074E-4
1.955684958E0,-1.191534102E-4,9.817196988E-4,3.476855345E-4
1.965698958E0,9.233877063E-4,1.375558786E-3,1.857862342E-3
1.975712958E0,-6.036683917E-4,-1.816239674E-3,-2.513450105E-3
