"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.454982958E0,-1.975891113E-1,-6.146218872E-1,9.629625092E0
1.464996958E0,-2.020797729E-1,-6.060896301E-1,9.634265442E0
1.475010958E0,-2.110610962E-1,-6.191125488E-1,9.634115753E0
1.485024958E0,-2.121089172E-1,-6.131250000E-1,9.634714508E0
1.495038958E0,-2.155517578E-1,-6.218069458E-1,9.628876648E0
1.505052958E0,-2.115101624E-1,-6.134243774E-1,9.633367310E0
1.515066958E0,-2.151026917E-1,-6.098318481E-1,9.635013885E0
1.525080958E0,-2.125579834E-1,-6.227050781E-1,9.619296570E0
1.535094958E0,-2.064207458E-1,-6.153703308E-1,9.630074158E0
1.545108958E0,-2.085163879E-1,-6.191125488E-1,9.632169800E0
1.555122958E0,-2.143542480E-1,-6.170169067E-1,9.627828827E0
1.565136958E0,-2.149530029E-1,-6.077362061E-1,9.632169800E0
1.575150958E0,-2.055226135E-1,-6.149212646E-1,9.631571045E0
1.585164958E0,-2.101629639E-1,-6.144721985E-1,9.629625092E0
1.595178958E0,-2.052232361E-1,-6.063890076E-1,9.625134430E0
1.605193958E0,-2.089654541E-1,-6.143225098E-1,9.626930695E0
1.615207958E0,-2.100132751E-1,-6.249504089E-1,9.642498322E0
1.625221958E0,-2.121089172E-1,-6.132746887E-1,9.631121979E0
1.635235958E0,-2.041754150E-1,-6.108796692E-1,9.637109528E0
1.645249958E0,-1.950444031E-1,-6.036946106E-1,9.642648010E0
1.655263958E0,-2.008822632E-1,-6.137237549E-1,9.617350616E0
1.665277958E0,-2.020797729E-1,-6.212081909E-1,9.625882874E0
1.675291958E0,-2.124082947E-1,-6.086343384E-1,9.621392212E0
1.685305958E0,-2.140548706E-1,-6.125262451E-1,9.611961823E0
1.695319958E0,-2.094145203E-1,-6.170169067E-1,9.620045013E0
1.705333958E0,-2.034269714E-1,-6.195616150E-1,9.634564819E0
1.715347958E0,-2.070195007E-1,-6.170169067E-1,9.632469177E0
1.725361958E0,-2.053729248E-1,-6.134243774E-1,9.622589722E0
1.735375958E0,-1.923500061E-1,-6.146218872E-1,9.645342407E0
1.745389958E0,-2.092648315E-1,-6.135740662E-1,9.629026337E0
1.755403958E0,-2.158511353E-1,-6.060896301E-1,9.623338165E0
1.765417958E0,-2.157014465E-1,-6.036946106E-1,9.629625092E0
1.775431958E0,-2.110610962E-1,-6.147715759E-1,9.616003418E0
1.785445958E0,-2.116598511E-1,-6.188131714E-1,9.634564819E0
1.795459958E0,-1.978884888E-1,-6.125262451E-1,9.632020111E0
1.805473958E0,-2.106120300E-1,-6.170169067E-1,9.628726959E0
1.815487958E0,-2.100132751E-1,-6.098318481E-1,9.622440033E0
1.825502958E0,-2.098635864E-1,-6.120771790E-1,9.629325714E0
1.835516958E0,-2.218386841E-1,-6.261479187E-1,9.631421356E0
1.845530958E0,-2.143542480E-1,-6.234535217E-1,9.633816376E0
1.855544958E0,-2.061213684E-1,-6.186634827E-1,9.627828827E0
1.865558958E0,-2.082170105E-1,-6.071374512E-1,9.630972290E0
1.875572958E0,-2.007325745E-1,-6.087840271E-1,9.633217621E0
1.885586958E0,-2.044747925E-1,-6.086343384E-1,9.628726959E0
1.895600958E0,-1.965412903E-1,-6.104306030E-1,9.624984741E0
1.905614958E0,-2.085163879E-1,-6.099815369E-1,9.625284119E0
1.915628958E0,-2.189945984E-1,-6.237528992E-1,9.629325714E0
1.925642958E0,-2.155517578E-1,-6.164181519E-1,9.635612640E0
1.935656958E0,-2.038760376E-1,-6.128256226E-1,9.645043030E0
1.945670958E0,-2.097138977E-1,-6.179150391E-1,9.637558594E0
1.955684958E0,-2.097138977E-1,-6.114784241E-1,9.629924469E0
1.965698958E0,-1.983375549E-1,-5.980064392E-1,9.629026337E0
1.975712958E0,-2.007325745E-1,-6.004014587E-1,9.622889099E0
1.985726958E0,-2.019300842E-1,-6.056405640E-1,9.621841278E0
1.995740958E0,-2.028282166E-1,-6.146218872E-1,9.622290344E0
2.005754958E0,-2.128573608E-1,-6.179150391E-1,9.623188477E0
2.015768958E0,-2.167492676E-1,-6.206094360E-1,9.633666687E0
2.025782958E0,-2.089654541E-1,-6.191125488E-1,9.644144897E0
2.035796958E0,-2.148033142E-1,-6.161187744E-1,9.639654236E0
2.045810958E0,-2.168989563E-1,-6.129753113E-1,9.638756104E0
2.055825958E0,-2.055226135E-1,-6.180647278E-1,9.626631317E0
2.065839958E0,-2.107617188E-1,-6.137237549E-1,9.624984741E0
2.075853958E0,-2.133064270E-1,-6.185137939E-1,9.626032562E0
2.085867958E0,-2.171983337E-1,-6.125262451E-1,9.618248749E0
2.095881958E0,-2.149530029E-1,-6.213578796E-1,9.627379761E0
2.105895958E0,-2.173480225E-1,-6.245013428E-1,9.638905792E0
2.115909958E0,-2.236349487E-1,-6.251000977E-1,9.635912018E0
2.125923958E0,-2.213896179E-1,-6.249504089E-1,9.633067932E0
2.135937958E0,-2.260299683E-1,-6.215075684E-1,9.652826843E0
2.145951958E0,-2.240840149E-1,-6.219566345E-1,9.650581512E0
2.155965958E0,-2.158511353E-1,-6.141728210E-1,9.641450500E0
2.165979958E0,-2.050735474E-1,-6.047424316E-1,9.622140656E0
2.175993958E0,-2.091151428E-1,-6.137237549E-1,9.619595947E0
2.186007958E0,-2.016307068E-1,-6.062393188E-1,9.626930695E0
2.196021958E0,-2.074685669E-1,-6.093827820E-1,9.625733185E0
2.206036458E0,-2.098635864E-1,-6.119274902E-1,9.636510773E0
2.216050458E0,-2.029779053E-1,-6.039939880E-1,9.637408905E0
2.226064458E0,-1.980381775E-1,-6.137237549E-1,9.629176025E0
2.236078458E0,-2.037263489E-1,-6.092330933E-1,9.623637543E0
2.246092458E0,-1.986369324E-1,-6.059399414E-1,9.616302795E0
2.256106458E0,-2.028282166E-1,-6.045927429E-1,9.636810150E0
