"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
1.241787286E2	-1.247505798E0	3.648961945E0	7.340435486E0
1.241887426E2	-1.147364044E0	3.688779144E0	7.205416260E0
1.241987576E2	-1.062789917E0	3.631598053E0	7.098239136E0
1.242087716E2	-1.020727386E0	3.531905365E0	7.031178589E0
1.242187866E2	-9.813592529E-1	3.403322754E0	6.934928741E0
1.242288006E2	-9.339079285E-1	3.271746368E0	6.868017883E0
1.242388156E2	-9.307644653E-1	3.143463135E0	6.858138428E0
1.242488296E2	-8.991801453E-1	3.059188385E0	6.837331696E0
1.242588436E2	-8.491841125E-1	3.016527100E0	6.735842743E0
1.242688586E2	-8.053253174E-1	2.963237915E0	6.603667603E0
1.242788726E2	-8.424481201E-1	2.937341766E0	6.560108185E0
1.242888876E2	-8.324189758E-1	2.989882507E0	6.415209503E0
1.242989016E2	-7.458988953E-1	3.074157257E0	6.237379303E0
1.243089166E2	-6.813830566E-1	3.203787689E0	6.153254242E0
1.243189306E2	-5.953120422E-1	3.401077423E0	6.046077118E0
1.243289456E2	-5.001100159E-1	3.628454590E0	6.067482605E0
1.243389596E2	-4.367916870E-1	3.837120667E0	6.154451752E0
1.243489746E2	-4.231700134E-1	3.957620087E0	6.303691406E0
1.243589886E2	-4.408332825E-1	4.045038300E0	6.605164490E0
1.243690036E2	-4.974156189E-1	4.209695892E0	6.986870728E0
1.243790176E2	-5.763015747E-1	4.406237183E0	7.443870392E0
1.243890316E2	-5.851332092E-1	4.576283569E0	7.876919861E0
1.243990466E2	-6.231541443E-1	4.694238281E0	8.429720306E0
1.244090606E2	-7.258406067E-1	4.749024353E0	9.033265228E0
1.244190756E2	-7.453001404E-1	4.757855988E0	9.549841003E0
1.244290896E2	-7.008425903E-1	4.780758362E0	9.997709656E0
1.244391046E2	-6.738986206E-1	4.885091400E0	1.037312897E1
1.244491186E2	-6.911128235E-1	4.980143738E0	1.073866882E1
1.244591336E2	-6.740483093E-1	4.970413971E0	1.098969681E1
1.244691476E2	-6.092330933E-1	4.880151672E0	1.127111160E1
1.244791626E2	-6.095324707E-1	4.767136688E0	1.152109177E1
1.244891766E2	-7.162605286E-1	4.751419373E0	1.164368683E1
1.244991916E2	-8.312214661E-1	4.811743927E0	1.165880539E1
1.245092056E2	-8.818162537E-1	4.756957855E0	1.149145340E1
1.245192196E2	-1.017284546E0	4.801265717E0	1.117171829E1
1.245292346E2	-1.130000153E0	5.142106934E0	1.062490540E1
1.245392486E2	-1.057550812E0	5.468578033E0	1.021341110E1
1.245492636E2	-8.852590942E-1	5.651797028E0	1.005998016E1
1.245592776E2	-6.553372192E-1	5.794600067E0	1.011341904E1
1.245692926E2	-2.917433167E-1	5.673950958E0	1.024170227E1
1.245793066E2	-2.185455322E-2	5.346731415E0	1.045141617E1
1.245893216E2	2.609074402E-1	5.005590820E0	1.051907547E1
1.245993356E2	5.089416504E-1	4.548591156E0	1.054557037E1
1.246093506E2	5.587879944E-1	4.021686859E0	1.060933777E1
1.246193646E2	3.845503235E-1	3.635939026E0	1.052266800E1
1.246293796E2	1.179547119E-1	3.402574310E0	1.033346146E1
1.246393936E2	-7.424560547E-2	3.312611389E0	1.012823822E1
1.246494086E2	-9.954299927E-2	3.300636292E0	9.783056030E0
1.246594226E2	7.783813477E-2	3.257975006E0	9.443112946E0
1.246694366E2	4.333488464E-1	3.264411621E0	8.968749390E0
1.246794516E2	8.241860962E-1	3.327879639E0	8.419092407E0
1.246894656E2	1.056652679E0	3.453019409E0	8.014483795E0
1.246994806E2	1.109492798E0	3.551813965E0	7.677534485E0
1.247094946E2	1.128952332E0	3.565585327E0	7.359745331E0
1.247195096E2	1.075962524E0	3.598516846E0	7.189549255E0
1.247295236E2	9.065148926E-1	3.681893463E0	7.183561707E0
1.247395386E2	6.644682312E-1	3.739822998E0	7.213499451E0
1.247495526E2	4.653822327E-1	3.659739532E0	7.253616028E0
1.247595676E2	3.489244080E-1	3.521726532E0	7.211703186E0
1.247695816E2	2.628533936E-1	3.376079407E0	7.142846375E0
1.247795966E2	1.368154907E-1	3.232827301E0	7.070696411E0
1.247896106E2	-2.993774414E-4	3.199297028E0	6.953340454E0
1.247996256E2	-9.834548950E-2	3.249891815E0	6.752158813E0
1.248096396E2	-1.555265808E-1	3.299289093E0	6.520290985E0
1.248196546E2	-1.933978271E-1	3.399580536E0	6.274502106E0
1.248296686E2	-2.118095398E-1	3.600013733E0	6.067482605E0
1.248396826E2	-2.038760376E-1	3.855083313E0	5.960754547E0
1.248496976E2	-2.098635864E-1	4.109703827E0	5.929918671E0
1.248597116E2	-2.436932373E-1	4.298311615E0	5.950276337E0
1.248697266E2	-2.531236267E-1	4.438719635E0	6.037844238E0
1.248797406E2	-2.625540161E-1	4.592749329E0	6.141428833E0
1.248897556E2	-3.167413330E-1	4.787045288E0	6.425088959E0
1.248997696E2	-4.152365112E-1	4.952002258E0	6.756499786E0
1.249097846E2	-4.556524658E-1	5.010380859E0	7.002438354E0
1.249197986E2	-5.014572144E-1	5.059179382E0	7.346722412E0
1.249298136E2	-5.792953491E-1	5.200934601E0	7.707023163E0
1.249398276E2	-6.497987366E-1	5.316344604E0	8.058941345E0
1.249498426E2	-6.442602539E-1	5.283712463E0	8.452922058E0
1.249598566E2	-6.466552734E-1	5.231171722E0	8.959169312E0
1.249698716E2	-6.752458191E-1	5.225333862E0	9.571246490E0
1.249798855E2	-7.376660156E-1	5.225782928E0	1.024080414E1
1.249898995E2	-6.942562866E-1	5.195695496E0	1.081366287E1
1.249999145E2	-5.065466309E-1	5.029391327E0	1.120704483E1
1.250099285E2	-3.403921509E-1	4.878505096E0	1.136571487E1
1.250199435E2	-3.703298950E-1	4.933440857E0	1.136092484E1
1.250299575E2	-5.137316895E-1	5.071753235E0	1.126392654E1
1.250399725E2	-6.756948853E-1	5.219196625E0	1.111992599E1
1.250499865E2	-8.713380432E-1	5.475912781E0	1.082234482E1
1.250600015E2	-1.054107971E0	5.710624695E0	1.043285477E1
1.250700155E2	-1.247655487E0	5.902375946E0	1.026535309E1
1.250800305E2	-1.358425140E0	6.033054199E0	1.019035904E1
1.250900445E2	-1.416055298E0	6.021228790E0	1.022957748E1
1.251000595E2	-1.382974091E0	5.853577423E0	1.015623001E1
1.251100735E2	-1.212328949E0	5.581593018E0	1.020083725E1
1.251200885E2	-1.136137390E0	5.200784912E0	1.047057632E1
1.251301025E2	-1.203946381E0	4.847519531E0	1.061337936E1
1.251401165E2	-1.359772339E0	4.444407806E0	1.073148376E1
1.251501315E2	-1.382824402E0	3.923491058E0	1.067714676E1
1.251601455E2	-1.399439850E0	3.464395752E0	1.051847672E1
1.251701605E2	-1.588945770E0	3.300785980E0	1.030711624E1
1.251801745E2	-1.850751343E0	3.382516022E0	1.005099884E1
1.251901895E2	-2.056723022E0	3.501967621E0	9.803114319E0
1.252002035E2	-2.060465240E0	3.627257080E0	9.410630493E0
1.252102185E2	-1.866169281E0	3.702999573E0	8.891510010E0
1.252202325E2	-1.638941803E0	3.714375916E0	8.518036652E0
1.252302475E2	-1.432670746E0	3.792363739E0	8.255332947E0
1.252402615E2	-1.275796967E0	3.865711212E0	7.972271576E0
1.252502765E2	-1.126856689E0	3.813320160E0	7.677983551E0
1.252602905E2	-9.256750488E-1	3.742367706E0	7.500003662E0
1.252703055E2	-7.897576904E-1	3.658841400E0	7.296876068E0
1.252803195E2	-7.047344971E-1	3.558250580E0	7.186555481E0
1.252903345E2	-6.360273743E-1	3.485651550E0	7.058721313E0
1.253003485E2	-6.559359741E-1	3.389701080E0	6.972350922E0
1.253103625E2	-7.340734863E-1	3.292253723E0	6.876849518E0
1.253203775E2	-8.068222046E-1	3.202141113E0	6.702162781E0
1.253303915E2	-9.211843872E-1	3.166365509E0	6.535110168E0
1.253404065E2	-1.004111938E0	3.177592163E0	6.453829193E0
1.253504205E2	-9.385482788E-1	3.266058197E0	6.314618683E0
1.253604355E2	-9.419911194E-1	3.392245789E0	6.154601440E0
1.253704495E2	-9.357041931E-1	3.565735016E0	6.074967041E0
1.253804645E2	-8.372090149E-1	3.772904205E0	6.041137390E0
1.253904785E2	-6.744973755E-1	3.983067169E0	6.031407623E0
1.254004935E2	-5.682183838E-1	4.186344452E0	6.197861481E0
1.254105075E2	-4.812492371E-1	4.339775391E0	6.449937286E0
1.254205225E2	-3.260220337E-1	4.433330841E0	6.731651459E0
1.254305365E2	-1.950444031E-1	4.470004578E0	7.079827423E0
1.254405515E2	-7.738906860E-2	4.514312439E0	7.433841248E0
1.254505655E2	4.490661621E-3	4.559817810E0	7.784861298E0
1.254605805E2	2.080673218E-2	4.667893066E0	8.132288818E0
1.254705945E2	6.721023560E-2	4.773124237E0	8.467591553E0
1.254806085E2	9.864486694E-2	4.819976807E0	8.812324677E0
1.254906235E2	8.008346558E-2	4.843028870E0	9.085506592E0
1.255006375E2	2.140548706E-2	4.833299103E0	9.246272278E0
1.255106525E2	-5.733078003E-2	4.884342957E0	9.483229523E0
1.255206665E2	-9.834548950E-2	4.935536499E0	9.638007660E0
1.255306815E2	-9.610015869E-2	4.926555176E0	9.867779846E0
1.255406955E2	-6.810836792E-2	4.974455566E0	1.007330246E1
1.255507105E2	-1.216969299E-1	5.020260315E0	1.037971527E1
1.255607245E2	-2.944377136E-1	5.166805573E0	1.061517563E1
1.255707395E2	-4.248165894E-1	5.315147095E0	1.072519684E1
1.255807535E2	-4.185296631E-1	5.291496277E0	1.068403244E1
1.255907685E2	-4.345463562E-1	5.344635773E0	1.050799850E1
1.256007825E2	-6.104306030E-1	5.683381348E0	1.044752426E1
1.256107975E2	-6.421646118E-1	5.972879333E0	1.053838531E1
1.256208115E2	-4.700225830E-1	6.027665405E0	1.068448151E1
1.256308265E2	-2.127076721E-1	6.052813110E0	1.095631622E1
