"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
2.511648708E0	-2.868706882E-1	-3.765108436E-2	-1.375029795E-2
2.521662708E0	-3.438448310E-1	1.099522412E-1	-2.569644526E-2
2.531676708E0	-3.509418964E-1	2.317471206E-1	-3.606413305E-2
2.541690708E0	-3.040494323E-1	2.959576547E-1	-3.999970481E-2
2.551703708E0	-2.233354002E-1	3.022208810E-1	-3.222966939E-2
2.561717708E0	-1.383017600E-1	2.472650409E-1	-1.498034038E-2
2.571731708E0	-6.125918031E-2	1.806236953E-1	1.268910430E-2
2.581745708E0	-2.735203132E-3	1.323786676E-1	5.053903908E-2
2.591759708E0	2.938039042E-2	6.781192124E-2	8.088708669E-2
2.601773708E0	3.698811308E-2	2.364916727E-2	1.056501567E-1
2.611787708E0	3.569301963E-2	2.400123700E-2	1.298923790E-1
2.621800708E0	2.439519949E-2	2.916111611E-2	1.535830051E-1
2.631814708E0	8.381614462E-3	3.411326557E-2	1.764028370E-1
2.641828708E0	1.059942134E-2	5.744140595E-2	1.916485429E-1
2.651842708E0	2.784045972E-2	7.857278734E-2	1.938610971E-1
2.661856708E0	8.035738021E-2	1.308073848E-1	1.838012338E-1
2.671870708E0	1.569341868E-1	1.688546389E-1	1.581153125E-1
2.681883708E0	2.515173554E-1	1.772350669E-1	1.260719001E-1
2.691897708E0	3.457272351E-1	1.411159486E-1	9.824559838E-2
2.701911708E0	4.116741419E-1	6.180925667E-2	8.327306807E-2
2.711925708E0	4.420219362E-1	-3.413325548E-2	6.992930174E-2
2.721939708E0	4.377565384E-1	-1.415298283E-1	5.603469163E-2
2.731953708E0	3.817396164E-1	-2.447603345E-1	3.492674232E-2
2.741967708E0	2.767843306E-1	-3.388169110E-1	5.207389593E-3
2.751980708E0	1.399004906E-1	-3.950173259E-1	-4.078567028E-2
2.761994708E0	-2.407011762E-2	-3.996301591E-1	-9.374611825E-2
2.772008708E0	-1.815952957E-1	-3.535383046E-1	-1.478511691E-1
2.782022708E0	-3.030534089E-1	-2.286998332E-1	-1.911826283E-1
2.792036708E0	-3.358355761E-1	-6.582517177E-2	-2.151545435E-1
2.802050708E0	-2.791798711E-1	8.999511600E-2	-2.141520381E-1
2.812064708E0	-1.365319192E-1	2.108443081E-1	-1.647906154E-1
2.822077708E0	3.993668035E-2	2.291590124E-1	-8.522973210E-2
2.832091708E0	1.951832622E-1	1.065273657E-1	-1.407087035E-2
2.842105708E0	2.895824909E-1	-9.806593508E-2	4.671035707E-2
2.852119708E0	2.992433608E-1	-3.169897497E-1	9.778472781E-2
2.862134292E0	2.212210447E-1	-4.832434654E-1	1.175206378E-1
2.872148292E0	5.749149621E-2	-5.512518287E-1	9.192632884E-2
2.882161292E0	-1.681505293E-1	-5.652654171E-1	3.042631224E-2
2.892175292E0	-4.316309094E-1	-5.466464162E-1	-4.724531248E-2
2.902189292E0	-6.930641532E-1	-4.831809998E-1	-1.158021241E-1
2.912203292E0	-8.982026577E-1	-3.491150737E-1	-1.632109135E-1
2.922217292E0	-9.801789522E-1	-1.293747723E-1	-1.738155484E-1
2.932231292E0	-9.102818966E-1	1.498675197E-1	-1.487514675E-1
2.942245292E0	-6.926031113E-1	3.802570701E-1	-1.142225713E-1
2.952258292E0	-3.761819899E-1	4.329447746E-1	-1.069212556E-1
2.962272292E0	-3.040116280E-2	3.218497038E-1	-1.330873370E-1
2.972286292E0	2.979290783E-1	9.765128791E-2	-1.724639237E-1
2.982300292E0	5.361541510E-1	-1.460572332E-1	-2.303394675E-1
2.992314292E0	6.456713080E-1	-2.999056578E-1	-2.869529426E-1
3.002328292E0	6.339291930E-1	-3.143544793E-1	-3.271156251E-1
3.012341292E0	5.011096001E-1	-2.313325703E-1	-3.630917370E-1
3.022355292E0	3.011177480E-1	-1.077691615E-1	-4.053626060E-1
3.032369292E0	6.118158251E-2	2.773833647E-2	-4.507705569E-1
3.042383292E0	-1.770424992E-1	1.080799550E-1	-4.944536984E-1
3.052397292E0	-3.854228854E-1	1.161994040E-1	-5.346509218E-1
3.062411292E0	-5.299735665E-1	1.103461310E-1	-5.632596016E-1
3.072424292E0	-6.105871797E-1	1.048794612E-1	-5.722655654E-1
3.082438292E0	-6.249505877E-1	8.602961153E-2	-5.614179969E-1
3.092452292E0	-5.802227855E-1	7.185573876E-2	-5.183608532E-1
3.102466292E0	-4.788913429E-1	4.484740645E-2	-4.611536860E-1
3.112480292E0	-3.412487805E-1	-1.995199826E-3	-4.018839598E-1
3.122494292E0	-1.904673874E-1	-4.423334822E-2	-3.559414744E-1
3.132508292E0	-4.220148921E-2	-6.560335308E-2	-3.290672600E-1
3.142521292E0	8.781299740E-2	-5.717966706E-2	-3.220793009E-1
3.152535292E0	1.791684777E-1	-1.616272144E-2	-3.236042261E-1
3.162549292E0	2.372158170E-1	4.039563239E-2	-3.277430534E-1
3.172563292E0	2.604098022E-1	1.197695434E-1	-3.232332468E-1
3.182577292E0	2.734387815E-1	1.837076545E-1	-3.101792932E-1
3.192591292E0	2.638524473E-1	2.106553763E-1	-2.975591123E-1
3.202604292E0	2.393016964E-1	2.110939324E-1	-2.778744698E-1
3.212618292E0	2.105102688E-1	1.855664700E-1	-2.473756522E-1
3.222632292E0	1.882272661E-1	1.643514335E-1	-2.011417896E-1
3.232646292E0	1.720797271E-1	1.387792230E-1	-1.506130993E-1
3.242660292E0	1.577410251E-1	7.239560038E-2	-9.953061491E-2
3.252674292E0	1.584749967E-1	-3.739119973E-3	-4.708684981E-2
3.262687292E0	1.679355055E-1	-8.722340316E-2	3.659818321E-4
3.272701292E0	1.723704785E-1	-1.670433879E-1	4.235098511E-2
3.282715292E0	1.645127237E-1	-2.648459971E-1	6.115130335E-2
3.292729292E0	1.368912160E-1	-3.671590388E-1	6.876154989E-2
3.302743292E0	8.597601205E-2	-4.343514144E-1	6.993950903E-2
3.312757292E0	1.674394123E-2	-4.284770191E-1	7.305354625E-2
3.322770292E0	-6.601420045E-2	-3.770155907E-1	7.061629742E-2
3.332784292E0	-1.532026231E-1	-2.723879814E-1	7.910512388E-2
3.342798292E0	-2.053668797E-1	-1.490412056E-1	9.985257685E-2
3.352812292E0	-2.233517468E-1	-1.626479253E-2	1.193682253E-1
3.362826292E0	-1.974038184E-1	1.045332551E-1	1.299519092E-1
3.372840292E0	-1.237636730E-1	2.128104717E-1	1.517062038E-1
3.382854292E0	-2.527428791E-2	2.205721587E-1	1.658044010E-1
3.392867292E0	5.155950785E-2	1.116485968E-1	1.736340970E-1
3.402881292E0	6.733316928E-2	-8.001624793E-2	1.657712460E-1
3.412895292E0	1.255433820E-2	-2.486801147E-1	1.651206315E-1
3.422909292E0	-1.014568955E-1	-3.106278181E-1	1.988116056E-1
3.432923292E0	-2.512610257E-1	-2.905590236E-1	2.351919860E-1
3.442937292E0	-3.964044154E-1	-1.962206215E-1	2.479097843E-1
3.452950292E0	-5.114500523E-1	-6.986108422E-2	2.274654955E-1
3.462964292E0	-5.919815302E-1	-1.213299111E-2	1.693474203E-1
3.472978292E0	-6.505711079E-1	-3.355705738E-2	8.957935870E-2
3.482992292E0	-6.761752963E-1	-4.335855693E-2	3.074855916E-2
3.493006292E0	-6.528425813E-1	6.063051987E-3	3.138159215E-2
3.503020292E0	-6.060073376E-1	2.148616016E-1	5.189153925E-2
3.513033292E0	-5.302737355E-1	3.964084983E-1	1.429663152E-1
3.523047292E0	-4.073706567E-1	4.860035777E-1	2.832516134E-1
3.533061292E0	-2.293279469E-1	4.635659158E-1	4.016783834E-1
3.543075292E0	-2.792443335E-2	3.164889812E-1	4.701176286E-1
3.553089292E0	1.767107397E-1	1.128921807E-1	4.962847829E-1
3.563103292E0	3.509512246E-1	-6.254720688E-2	4.677587450E-1
3.573116292E0	4.556776285E-1	-2.087273151E-1	3.805588782E-1
3.583130292E0	4.640008211E-1	-3.212654293E-1	2.520700693E-1
3.593144292E0	3.696743250E-1	-4.080123305E-1	1.169210449E-1
3.603158292E0	1.795391142E-1	-4.203889072E-1	2.265203511E-3
3.613172292E0	-6.768080592E-2	-3.529917598E-1	-7.540855557E-2
3.623186292E0	-3.326798081E-1	-2.247769237E-1	-1.369254440E-1
3.633200292E0	-5.628155470E-1	-6.446529180E-2	-1.803088635E-1
3.643213292E0	-7.071501613E-1	1.049138457E-1	-1.949809343E-1
3.653227292E0	-7.539802194E-1	2.680316567E-1	-1.894679219E-1
3.663241292E0	-7.047567964E-1	3.763817549E-1	-1.647088975E-1
3.673255292E0	-5.751442313E-1	4.214823842E-1	-1.292672902E-1
3.683269292E0	-3.947437704E-1	4.051173329E-1	-8.102850616E-2
3.693283292E0	-1.947435886E-1	3.376043439E-1	-1.591580920E-2
3.703296292E0	-2.563074231E-3	2.276369631E-1	5.747396126E-2
3.713310292E0	1.542776674E-1	1.111454964E-1	1.435627788E-1
3.723324292E0	2.617953420E-1	1.263197791E-2	2.318566889E-1
3.733338292E0	3.163587153E-1	-5.940173194E-2	3.059069216E-1
3.743352292E0	3.325462639E-1	-9.956935793E-2	3.652210534E-1
3.753366292E0	3.170354962E-1	-1.074991897E-1	3.994410932E-1
3.763379292E0	2.872256041E-1	-1.146894917E-1	4.043621421E-1
3.773393292E0	2.511075437E-1	-1.102255061E-1	3.877453506E-1
3.783407292E0	2.287370712E-1	-7.708238065E-2	3.638379872E-1
