"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.379752250E0,-1.124818698E-1,6.114501879E-2,-5.406235904E-2
1.389765250E0,-1.351632476E-1,8.912736177E-2,-4.229961708E-2
1.399778250E0,-1.317932904E-1,1.012530029E-1,-2.728098631E-2
1.409791250E0,-1.045193076E-1,9.067162871E-2,-1.972651482E-2
1.419805250E0,-7.484503090E-2,5.411627516E-2,-1.266247965E-2
1.429818250E0,-4.809755832E-2,6.362729706E-3,2.731681569E-3
1.439831250E0,-3.160753101E-2,-3.187040985E-2,9.956571274E-3
1.449844250E0,-2.867027745E-2,-5.277729779E-2,1.565631293E-2
1.459858250E0,-3.880546987E-2,-5.323536694E-2,2.301941998E-2
1.469871250E0,-7.000163198E-2,-4.365929589E-2,3.912939504E-2
1.479884250E0,-8.755159378E-2,-2.889712900E-2,4.693778232E-2
1.489897250E0,-9.000854194E-2,-1.145900507E-2,5.717865378E-2
1.499911250E0,-9.136302024E-2,4.780951422E-3,5.743698031E-2
1.509924250E0,-9.982925653E-2,1.035625767E-2,5.002442747E-2
1.519937250E0,-1.034572870E-1,1.237440109E-2,3.890759498E-2
1.529950250E0,-9.723894298E-2,1.123000495E-2,2.742551826E-2
1.539964250E0,-7.619118690E-2,1.668335870E-2,1.653798297E-2
1.549977250E0,-4.095197842E-2,1.804547384E-2,9.935576469E-3
1.559990250E0,-1.531399321E-2,2.469298989E-2,1.433485188E-2
1.570003250E0,-1.475009043E-2,3.840044606E-3,1.991761476E-2
1.580017250E0,-2.103408426E-2,-3.251343593E-2,1.524643041E-2
1.590030250E0,-2.084107697E-2,-5.506253615E-2,6.271242164E-3
1.600043250E0,-2.333459444E-2,-7.932793349E-2,-3.363009077E-3
1.610056250E0,-2.028428577E-2,-8.793461323E-2,-1.155083533E-2
1.620070250E0,-9.284632280E-3,-6.470732391E-2,-1.484543178E-2
1.630083250E0,-3.249265254E-3,-4.307479039E-2,-1.816828549E-2
1.640096250E0,-5.720677786E-3,-1.137465239E-2,-2.321044914E-2
1.650109250E0,-2.394576557E-2,6.242923439E-3,-2.583432198E-2
1.660123250E0,-4.678743333E-2,3.266441077E-2,-2.909855917E-2
1.670136250E0,-5.856543034E-2,3.453879058E-2,-3.128600121E-2
1.680149250E0,-6.428643316E-2,2.023521811E-2,-3.493399918E-2
1.690162250E0,-4.944864288E-2,5.030202214E-3,-3.499566019E-2
1.700176250E0,-1.728218421E-2,-1.879902091E-3,-2.897132188E-2
1.710188792E0,1.525492035E-2,-1.468822546E-2,-1.881116629E-2
1.720201792E0,4.767491668E-2,-2.260820009E-2,-6.922014989E-3
1.730214792E0,6.496069580E-2,-1.719825342E-2,2.130868845E-3
1.740227792E0,7.681042701E-2,4.717430566E-3,1.296833716E-2
1.750241792E0,7.673821598E-2,3.763077781E-2,1.880703121E-2
1.760254792E0,5.794881284E-2,5.904978514E-2,1.993248239E-2
1.770267792E0,3.319067508E-2,7.180814445E-2,2.097928897E-2
1.780280792E0,1.797976531E-2,6.078105420E-2,2.406189777E-2
1.790294792E0,2.872945182E-2,4.403234646E-2,1.940519735E-2
1.800307792E0,6.105703115E-2,3.622262552E-2,7.497671060E-3
1.810320792E0,7.479452342E-2,3.546775877E-2,8.451594040E-3
1.820333792E0,6.113170832E-2,4.578750581E-2,2.031437866E-2
1.830347792E0,4.369939119E-2,7.109194994E-2,2.893576212E-2
1.840360792E0,1.519797370E-2,9.541300684E-2,2.466964349E-2
1.850373792E0,-6.567941047E-3,1.029642299E-1,1.424454339E-2
1.860386792E0,-7.387928665E-3,9.244421124E-2,3.701355308E-3
1.870400792E0,2.043439634E-2,8.317098022E-2,-4.320468754E-3
1.880413792E0,6.533795595E-2,6.895209849E-2,1.595634967E-5
1.890426792E0,8.815946430E-2,3.115127049E-2,1.754030213E-2
1.900439792E0,8.926814049E-2,-1.094957627E-2,4.131221026E-2
1.910453792E0,7.621771842E-2,-3.927598894E-2,5.907189474E-2
