"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.083110250E0,-1.730401611E-1,4.379442902E0,8.699908447E0
1.093123250E0,-7.828720093E-2,4.369862823E0,8.619974670E0
1.103137250E0,-3.382965088E-2,4.368815002E0,8.570727081E0
1.113150250E0,-2.170486450E-2,4.413272552E0,8.582552490E0
1.123163250E0,-3.906875610E-2,4.463567963E0,8.554261322E0
1.133176250E0,-6.481521606E-2,4.538562012E0,8.590635681E0
1.143190250E0,-8.083190918E-2,4.614903259E0,8.528514862E0
1.153203250E0,-1.076261902E-1,4.639751587E0,8.437204742E0
1.163216250E0,-1.630110168E-1,4.660408630E0,8.405620422E0
1.173229250E0,-2.119592285E-1,4.640500031E0,8.480614471E0
1.183243250E0,-2.570155334E-1,4.590204620E0,8.506809998E0
1.193256250E0,-2.887495422E-1,4.496050415E0,8.540190582E0
1.203269250E0,-2.787203979E-1,4.418811035E0,8.526568909E0
1.213282250E0,-2.938389587E-1,4.374054108E0,8.550818481E0
1.223296250E0,-3.159928894E-1,4.365970917E0,8.522078247E0
1.233309250E0,-3.017724609E-1,4.388124847E0,8.439001007E0
1.243322250E0,-3.124003601E-1,4.400998077E0,8.399632874E0
1.253335250E0,-3.359014893E-1,4.420457611E0,8.378077698E0
1.263348250E0,-3.406915283E-1,4.416865082E0,8.406817932E0
1.273362250E0,-3.564088440E-1,4.446503448E0,8.439300385E0
1.283375250E0,-3.520678711E-1,4.476590881E0,8.430019684E0
1.293388250E0,-3.020718384E-1,4.491559753E0,8.429271240E0
1.303401250E0,-2.716850281E-1,4.501588898E0,8.406518555E0
1.313415250E0,-3.725752258E-1,4.477638702E0,8.366401978E0
1.323428250E0,-3.255729675E-1,4.516108704E0,8.445287933E0
1.333441250E0,-2.598596191E-1,4.482129364E0,8.426726532E0
1.343454250E0,-2.462379456E-1,4.493505707E0,8.474028168E0
1.353468250E0,-2.016307068E-1,4.474046173E0,8.544830933E0
1.363481250E0,-1.682501221E-1,4.514462128E0,8.581654358E0
1.373494250E0,-1.350192261E-1,4.524042206E0,8.619974670E0
1.383507250E0,-1.130149841E-1,4.507426758E0,8.597970428E0
1.393521250E0,-1.508862305E-1,4.491410065E0,8.609795837E0
1.403534250E0,-1.919009399E-1,4.448599091E0,8.604407043E0
1.413547250E0,-2.737806702E-1,4.443060608E0,8.599167938E0
1.423560250E0,-3.360511780E-1,4.458179169E0,8.576564941E0
1.433574250E0,-3.613485718E-1,4.444557495E0,8.566086731E0
1.443587250E0,-3.525169373E-1,4.446653137E0,8.545279999E0
1.453600250E0,-3.625460815E-1,4.449796600E0,8.555159454E0
1.463613250E0,-3.568579102E-1,4.448299713E0,8.518635406E0
1.473627250E0,-3.523672485E-1,4.446952515E0,8.517437897E0
1.483640250E0,-3.448828125E-1,4.415068817E0,8.577463074E0
1.493653250E0,-3.159928894E-1,4.385280762E0,8.624615021E0
1.503666250E0,-2.748284912E-1,4.381089478E0,8.677904205E0
1.513680250E0,-2.276765442E-1,4.367018738E0,8.750353546E0
1.523693250E0,-1.646575928E-1,4.405937805E0,8.765621796E0
1.533706250E0,-1.062789917E-1,4.425846405E0,8.786578217E0
1.543719250E0,-8.801696777E-2,4.415817261E0,8.841813354E0
1.553732250E0,-1.104702759E-1,4.403243408E0,8.897647247E0
1.563746250E0,-1.276844788E-1,4.410428467E0,8.884025574E0
1.573759250E0,-1.725910950E-1,4.401596832E0,8.806636505E0
1.583772250E0,-2.188449097E-1,4.398303680E0,8.766070862E0
1.593785250E0,-1.751358032E-1,4.409530334E0,8.680598602E0
1.603799250E0,-1.598675537E-1,4.422104187E0,8.651259613E0
1.613812250E0,-1.335223389E-1,4.421355743E0,8.654403076E0
1.623825250E0,-1.022373962E-1,4.411775665E0,8.649014282E0
1.633838250E0,-1.161584473E-1,4.412973175E0,8.711733856E0
1.643852250E0,-1.236428833E-1,4.389022980E0,8.721763000E0
1.653865250E0,-1.600172424E-1,4.383933563E0,8.733289032E0
1.663878250E0,-1.477427673E-1,4.370611267E0,8.729696503E0
1.673891250E0,-1.448986816E-1,4.397255859E0,8.745264130E0
1.683905250E0,-1.440005493E-1,4.381987610E0,8.738079071E0
1.693918250E0,-1.616638184E-1,4.400848389E0,8.728948059E0
